date;datatype;station;value;fl_m;fl_q;fl_so;fl_t
2019-04-10;PRCP;GHCND:NZM00093110;0;;;S;
2019-04-10;TAVG;GHCND:NZM00093110;176;H;;S;
2019-04-10;TMAX;GHCND:NZM00093110;214;;;S;
2019-04-10;TMIN;GHCND:NZM00093110;105;;;S;
2019-04-11;PRCP;GHCND:NZM00093110;43;;;S;
2019-04-11;TAVG;GHCND:NZM00093110;163;H;;S;
2019-04-11;TMAX;GHCND:NZM00093110;223;;;S;
2019-04-11;TMIN;GHCND:NZM00093110;128;;;S;
2019-04-12;PRCP;GHCND:NZM00093110;137;;;S;
2019-04-12;TAVG;GHCND:NZM00093110;149;H;;S;
2019-04-12;TMAX;GHCND:NZM00093110;197;;;S;
2019-04-13;PRCP;GHCND:NZM00093110;18;;;S;
2019-04-13;TAVG;GHCND:NZM00093110;128;H;;S;
2019-04-13;TMAX;GHCND:NZM00093110;173;;;S;
2019-04-14;PRCP;GHCND:NZM00093110;0;;;S;
2019-04-14;TAVG;GHCND:NZM00093110;146;H;;S;
2019-04-14;TMAX;GHCND:NZM00093110;199;;;S;
2019-04-14;TMIN;GHCND:NZM00093110;73;;;S;
2019-04-15;PRCP;GHCND:NZM00093110;0;;;S;
2019-04-15;TAVG;GHCND:NZM00093110;134;H;;S;
2019-04-15;TMAX;GHCND:NZM00093110;195;;;S;
2019-04-16;PRCP;GHCND:NZM00093110;3;;;S;
2019-04-16;TAVG;GHCND:NZM00093110;140;H;;S;
2019-04-16;TMAX;GHCND:NZM00093110;200;;;S;
2019-04-16;TMIN;GHCND:NZM00093110;82;;;S;
2019-04-17;PRCP;GHCND:NZM00093110;0;;;S;
2019-04-17;TAVG;GHCND:NZM00093110;141;H;;S;
2019-04-17;TMAX;GHCND:NZM00093110;196;;;S;
2019-04-17;TMIN;GHCND:NZM00093110;91;;;S;
2019-04-18;PRCP;GHCND:NZM00093110;0;;;S;
2019-04-18;TAVG;GHCND:NZM00093110;139;H;;S;
2019-04-18;TMAX;GHCND:NZM00093110;196;;;S;
2019-04-18;TMIN;GHCND:NZM00093110;87;;;S;
2019-04-19;PRCP;GHCND:NZM00093110;0;;;S;
2019-04-19;TAVG;GHCND:NZM00093110;140;H;;S;
2019-04-19;TMAX;GHCND:NZM00093110;202;;;S;
2019-04-19;TMIN;GHCND:NZM00093110;74;;;S;
2019-04-20;PRCP;GHCND:NZM00093110;3;;;S;
2019-04-20;TAVG;GHCND:NZM00093110;146;H;;S;
2019-04-20;TMAX;GHCND:NZM00093110;206;;;S;
2019-04-20;TMIN;GHCND:NZM00093110;81;;;S;
2019-04-21;PRCP;GHCND:NZM00093110;0;;;S;
2019-04-21;TAVG;GHCND:NZM00093110;180;H;;S;
2019-04-21;TMAX;GHCND:NZM00093110;218;;;S;
2019-04-21;TMIN;GHCND:NZM00093110;93;;;S;
2019-04-22;PRCP;GHCND:NZM00093110;18;;;S;
2019-04-22;TAVG;GHCND:NZM00093110;134;H;;S;
2019-04-22;TMAX;GHCND:NZM00093110;183;;;S;
2019-04-23;PRCP;GHCND:NZM00093110;124;;;S;
2019-04-23;TAVG;GHCND:NZM00093110;146;H;;S;
2019-04-23;TMAX;GHCND:NZM00093110;187;;;S;
2019-04-23;TMIN;GHCND:NZM00093110;110;;;S;
2019-04-24;PRCP;GHCND:NZM00093110;0;;;S;
2019-04-24;TAVG;GHCND:NZM00093110;173;H;;S;
2019-04-24;TMAX;GHCND:NZM00093110;197;;;S;
2019-04-24;TMIN;GHCND:NZM00093110;105;;;S;
2019-04-25;PRCP;GHCND:NZM00093110;0;;;S;
2019-04-25;TAVG;GHCND:NZM00093110;177;H;;S;
2019-04-25;TMAX;GHCND:NZM00093110;203;;;S;
2019-04-25;TMIN;GHCND:NZM00093110;151;;;S;
2019-04-26;PRCP;GHCND:NZM00093110;3;;;S;
2019-04-26;TAVG;GHCND:NZM00093110;170;H;;S;
2019-04-26;TMAX;GHCND:NZM00093110;205;;;S;
2019-04-27;PRCP;GHCND:NZM00093110;0;;;S;
2019-04-27;TAVG;GHCND:NZM00093110;176;H;;S;
2019-04-27;TMAX;GHCND:NZM00093110;225;;;S;
2019-04-27;TMIN;GHCND:NZM00093110;137;;;S;
2019-04-28;PRCP;GHCND:NZM00093110;3;;;S;
2019-04-28;TAVG;GHCND:NZM00093110;152;H;;S;
2019-04-28;TMAX;GHCND:NZM00093110;191;;;S;
2019-04-29;PRCP;GHCND:NZM00093110;71;;;S;
2019-04-29;TAVG;GHCND:NZM00093110;149;H;;S;
2019-04-29;TMAX;GHCND:NZM00093110;185;;;S;
